Site,Título,Endereço,Preço,Link
http://imobiliariavenus.com.br/,Locação,Av. Higienopolis 2002 Loja 02 | Jardim Ipanema | Londrina,R$ 2000.00,http://imobiliariavenus.com.br//imovel/locacao/42918
http://imobiliariavenus.com.br/,Locação,Rua Paranagua 222 Loja 01 | Q 146 Lote 07 Centro | Londrina,R$ 2500.00,http://imobiliariavenus.com.br//imovel/locacao/35904
http://imobiliariavenus.com.br/,Locação,Rua Espirito Santo 1542 Apto | Centro | Londrina,R$ 550.00,http://imobiliariavenus.com.br//imovel/locacao/46030
http://imobiliariavenus.com.br/,Locação,Rua Senador Souza Naves 771 | Centro | Londrina,R$ 6980.00,http://imobiliariavenus.com.br//imovel/locacao/41289
http://imobiliariavenus.com.br/,Locação,Rua Santos 1150 Apto 201 | Centro | Londrina,R$ 980.00,http://imobiliariavenus.com.br//imovel/locacao/45787
http://imobiliariavenus.com.br/,Locação,Av.sao Joao | Conjunto Antares | Londrina,R$ 2800.00,http://imobiliariavenus.com.br//imovel/locacao/46398
http://imobiliariavenus.com.br/,Locação,Rua Marcilio Dias 195 | Vila Fujita | Londrina,R$ 3500.00,http://imobiliariavenus.com.br//imovel/locacao/40826
http://imobiliariavenus.com.br/,Locação,Rua Alagoas 1707 Loja 01 | Jardim Canada | Londrina,R$ 3500.00,http://imobiliariavenus.com.br//imovel/locacao/45299
http://imobiliariavenus.com.br/,Locação,Rua Itapicuru 337 Apto 701 Garagem 701 | Bairro Vila Nova | Londrina,R$ 700.00,http://imobiliariavenus.com.br//imovel/locacao/44807
http://imobiliariavenus.com.br/,Locação,Av. Saul Elkind 2810 | Parque Leblon | Londrina,R$ 25000.00,http://imobiliariavenus.com.br//imovel/locacao/45596
http://imobiliariavenus.com.br/,Locação,Av. Rio de Janeiro 1556 Loja | Vila Ipiranga | Londrina,R$ 6500.00,http://imobiliariavenus.com.br//imovel/locacao/46260
http://imobiliariavenus.com.br/,Locação,Rua Laurentina Maria de Freitas 270 (a) | Jardim Belleville | Londrina,R$ 5500.00,http://imobiliariavenus.com.br//imovel/locacao/47123
http://imobiliariavenus.com.br/,Venda,Rua Paranagua | Centro | Londrina,R$ 490000.00,http://imobiliariavenus.com.br//imovel/venda/45929
https://www.veneza.com.br/imoveis/apartamento-venda,Porto Madero,R. Joao Huss - Gleba Palhano - Londrina/PR," R$ 3.100.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-porto-madero-londrina?ref=56089.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Casa Batllo,R. Caracas - Gleba Palhano - Londrina/PR," R$ 2.590.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-casa-batllo-londrina?ref=56168.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Comodoro,R. Belo Horizonte - Centro - Londrina/PR," R$ 2.100.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-comodoro-londrina?ref=05713.011&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Torre Madri,R. Joao Wyclif - Gleba Palhano - Londrina/PR," R$ 2.000.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-torre-madri-londrina?ref=54415.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Lumini,R. Ulrico Zuinglio - Gleba Palhano - Londrina/PR," R$ 1.990.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-lumini-londrina?ref=56216.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Joan Miro,R. Joao Huss - Gleba Palhano - Londrina/PR," R$ 1.850.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-joan-miro-londrina?ref=52538.004&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Chacara Bela Vista,R. Caracas - Gleba Palhano - Londrina/PR," R$ 1.800.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-chacara-bela-vista-londrina?ref=55118.002&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Absoluto,R. Ernani Lacerda de Athayde - Gleba Palhano - Londrina/PR," R$ 1.700.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-absoluto-londrina?ref=55689.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Átrio,R. Ernani Lacerda de Athayde - Gleba Palhano - Londrina/PR," R$ 1.690.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-atrio-londrina?ref=06453.003&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Trianon (residencial),R. Joao Huss - Gleba Palhano - Londrina/PR," R$ 1.690.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-trianon-(residencial)-londrina?ref=56086.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Ana Flavia,R. Espirito Santo - Centro - Londrina/PR," R$ 1.680.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-ana-flavia-londrina?ref=55928.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Eldorado,R. Piaui - Centro - Londrina/PR," R$ 1.600.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-eldorado-londrina?ref=56214.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Serra Verde,R. Espirito Santo - Centro - Londrina/PR," R$ 1.500.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-serra-verde-londrina?ref=55593.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Imperatriz,R. Prefeito Hugo Cabral - Centro - Londrina/PR," R$ 1.440.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-imperatriz-londrina?ref=06860.002&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Salvador Torres,R. Piaui - Centro - Londrina/PR," R$ 1.350.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-salvador-torres-londrina?ref=56006.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Fontaine Blanc,R. Eurico Hummig - Gleba Palhano - Londrina/PR," R$ 1.280.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-fontaine-blanc-londrina?ref=56160.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Arbo e Flora,R. Joao Huss - Gleba Palhano - Londrina/PR," R$ 1.168.500,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-arbo-e-flora-londrina?ref=56014.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Solar Rivera,R. Antonio Pisicchio - Gleba Palhano - Londrina/PR," R$ 1.100.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-solar-rivera-londrina?ref=06354.004&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Portal do Lago,R. Jerusalem - Jardim do Lago - Londrina/PR," R$ 1.100.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-jardim-do-lago-portal-do-lago-londrina?ref=07683.011&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Ville Cap Ferrat,R. Espirito Santo - Centro - Londrina/PR," R$ 1.100.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-ville-cap-ferrat-londrina?ref=55318.001&id=0
